dim,s,time,sampled,sieved,compared,num_short
40,1000,45.076,1703,147279,504261645,78
41,10,19.899,1969,54650,217792391,80
41,100,41.644,2006,114269,456483372,75
41,1000,62.888,2000,173971,690223296,75
42,10,28.357,2318,65152,303795969,81
42,100,57.775,2398,134410,619302466,82
42,1000,89.674,2328,205005,940652909,81
43,10,42.437,2714,76609,413043832,83
43,100,83.133,2594,158734,854005114,0
43,1000,125.245,2717,244520,1309147592,14
44,10,57.519,3095,91303,573262869,4
44,100,118.745,3096,189365,1179107717,0
44,1000,177.02,3101,287445,1777748447,84
45,10,81.129,3624,107556,785756508,88
45,100,168.188,3774,225582,1639214026,79
45,1000,252.95,3560,341122,2457272456,87
46,10,114.57,4192,128064,1087677673,91
46,100,232.864,4143,261884,2181603611,79
46,1000,360.071,4199,402071,3347840538,89
47,10,161.371,4759,148811,1450714175,90
47,100,332.486,4836,314895,3057785060,90
47,1000,500.604,4703,475931,4596405321,90
48,10,222.627,5470,175694,1999496140,12
48,100,452.468,5405,366736,4112039630,82
48,1000,694.033,5589,561629,6295195039,93
49,10,323.61,6342,208900,2764733526,15
49,100,670.201,6423,437151,5713648028,92
49,1000,1005.657,6526,664206,8658737566,1
50,10,517.901,7452,244714,3744330815,99
50,100,1081.446,7467,518220,7894998464,98
50,1000,1577.098,7363,784555,11816287994,96
20,10,0.024,106,1626,312385,32
20,100,0.032,108,2824,521126,0
20,1000,0.054,121,4676,889376,38
21,10,0.028,135,1945,441697,41
21,100,0.048,115,3707,798699,41
21,1000,0.072,123,5684,1219404,41
22,10,0.036,135,2179,553682,7
22,100,0.071,144,4505,1119387,42
22,1000,0.103,147,6671,1657672,43
23,10,0.049,157,2687,761921,44
23,100,0.099,155,5498,1593676,39
23,1000,0.144,180,7914,2303887,45
24,10,0.068,175,3081,1002977,47
24,100,0.127,182,5942,1939700,40
24,1000,0.197,212,9176,3026468,9
25,10,0.093,198,3672,1384088,47
25,100,0.19,219,7565,2895435,46
25,1000,0.272,218,11175,4200357,49
