n, s, t1, max1, lsq1, t2, max2, lsq2, t3, max3, lsq3, t4, max4, lsq4, t5, max5, lsq5, t10, max10, lsq10, t20, max20, lsq20,
256,1,8.858638525,2,11,13.73455548,3,11,100.4553776,3,11,202.3367717,3,11,83.44077277,3,11,423.5253739,3,11,938.7094994,3,11, 
256,1,11.53020382,1,8,13.88515782,3,8,118.1098497,3,8,110.6074631,3,8,114.122143,3,8,291.3971875,3,8,959.4942739,3,8, 
256,10,9.079067469,18,3126,1287.849841,31,3126,435.8667874,26,3126,927.304481,22,3126,208.7937534,21,3126,1455.540796,14,1587,3413.596721,10,755, 
256,10,9.444897175,18,3231,1119.304748,34,3231,504.6125917,25,3231,894.8225377,23,3231,344.0909235,22,3231,1184.924661,17,1929,3779.198622,11,940, 
256,10,9.132902622,19,3032,1179.738489,33,3032,529.3393321,26,3032,521.4521942,23,3032,514.0703578,21,3032,1572.282774,14,1479,3733.763482,11,858, 
256,10,9.593414307,16,3253,1101.42279,35,3253,569.4549315,27,3253,421.4892681,26,3253,316.9947705,23,3253,1679.47557,16,1403,3051.321934,11,936, 
256,10,9.628259659,17,2992,1438.129075,30,2992,668.5694196,29,2992,294.5959885,23,2992,555.2321203,21,2992,1663.873416,14,1523,3717.460626,12,892, 
256,10,9.159385681,16,3072,1206.337741,33,3072,350.3621535,29,3072,704.1614215,24,3072,358.4792089,22,3072,1528.518098,14,1455,4010.769028,13,898, 
256,10,9.326831579,18,3274,1129.410974,30,3274,457.7594037,27,3274,453.0962334,28,3274,558.4477694,22,3274,1504.438196,14,1593,2887.042716,11,896, 
256,10,8.903162718,17,3035,1080.304857,31,3174,529.3479099,26,3174,367.8351758,24,3174,705.8994362,21,3174,1500.79088,16,1651,4529.500908,11,889, 
256,10,11.4803493,17,3319,1265.598048,34,3319,435.4213417,26,3319,524.5141506,27,3319,568.5129924,22,2808,1748.780749,14,1523,3781.289253,12,800, 
256,10,9.05304122,16,3068,1522.945427,31,3068,580.8859947,27,3068,372.9756923,23,3068,694.917433,21,3068,1593.621285,15,1586,4435.097814,10,870, 
256,10,9.468917608,19,3177,1120.543261,32,3177,583.5403602,30,3177,437.6179144,25,3177,630.2311199,21,3177,1667.965005,14,1464,3360.11175,10,912, 
256,10,9.050022602,19,3047,1244.427732,31,3047,416.3505516,29,3047,502.9883728,24,3047,678.3817859,21,2963,1505.792444,14,1464,2257.586496,12,994, 
256,10,9.446252108,17,3210,1189.676548,32,3282,452.3969488,26,3282,671.1166306,23,3282,731.8409219,21,3282,1369.286606,14,1740,3415.457232,10,923, 
256,10,9.294350863,17,3188,1359.400006,29,3188,379.9081597,30,3188,614.7434375,27,3188,429.1666689,20,3188,1383.181934,16,1715,4555.120628,10,883, 
256,10,9.232307911,16,3118,1237.898477,29,3118,300.9235532,29,3118,573.6663795,22,3118,484.0288179,22,3118,1537.257829,16,1517,2339.990666,11,827, 
256,10,8.962749004,17,3242,1245.200323,33,3242,368.3349607,25,3242,628.9924102,23,3242,433.5659347,22,3242,1582.764442,14,1797,2815.859928,11,883, 
256,10,9.20125246,18,2953,1287.199831,32,2953,538.4259043,28,2953,536.9006701,23,2953,544.7345009,21,2953,1110.885647,14,1603,4285.203884,11,852, 
256,10,9.2726264,22,3100,1075.666794,33,3100,527.4497428,28,3100,555.6664999,25,3100,491.8603592,22,3100,1123.886264,14,1690,4346.549441,12,819, 
256,10,9.324907303,17,3146,1139.09514,34,3146,531.0567052,28,3146,666.5707302,24,3146,528.5868814,20,3146,1024.917267,14,1957,3219.785099,11,865, 
256,10,9.297460079,19,3104,1239.23307,35,3104,584.96685,25,3104,296.1814466,23,3104,894.5194933,19,3104,1356.670511,14,1390,4297.623078,11,908, 
256,1000,9.176692486,1786,30187296,5190.345781,74,39407,694.4444678,36,7147,498.5397246,30,5499,541.440026,27,3572,1489.05854,14,1441,3807.943721,11,885, 
256,1000,9.343333244,1648,30278097,5091.613069,85,39534,751.6455348,35,9971,805.9689119,26,4557,625.7802567,22,3840,1432.984235,16,1586,4147.021578,13,903, 
256,1000,9.296380281,1732,29865762,5223.596697,88,39839,960.4705198,33,8490,572.6631122,29,5141,294.6173873,23,4530,1921.187419,14,1661,3366.847208,12,876, 
256,1000,9.479681015,1659,33274932,5085.421609,78,45920,542.9507525,43,12750,660.1959798,28,4876,544.145956,22,4292,1468.507981,14,1646,3492.357814,11,928, 
256,1000,9.595669985,1841,32067029,5195.744663,70,31980,652.9578824,40,8350,587.3559587,27,5274,861.9530854,23,3841,1639.440349,13,1676,3114.251528,13,902, 
256,1000,9.17006135,1695,33295507,5097.538586,79,46827,636.1635323,37,8926,625.1454449,32,4936,495.9036283,24,3647,1592.332881,14,1812,3828.568789,11,826, 
256,1000,9.371067524,1762,27103692,5027.952994,72,42684,680.177495,35,6447,426.0507419,26,5891,746.2340951,20,3284,1485.229734,16,1710,3114.191506,10,998, 
