n, T, t1, max1, lsq1, t2, max2, lsq2, t3, max3, lsq3, t4, max4, lsq4, t5, max5, lsq5, t10, max10, lsq10, t20, max20, lsq20 ,
128,1,34.82206583,3.30E+94,68,7.874789476,4,68,11.67679024,4,68,24.86820984,3,49,23.45985937,3,47,53.15859675,1,1,,,,
128,10,13.82589722, 61726307169514158505633501840213024660511407058135130937221205814691700107838665860505195923698921331067415543362751661980481850516097654162224535030893509962021724213092210757115384907151801562369126181565832529301475938738996515698541431952120375340923904651885749885958113464833629371362282704651055627125961626187845961978775046520372553142562049659396104839900705280569269380690075792541943779997249568402,3584,19.88085175,6,150,37.0636363,4,82,21.75076103,3,63,15.46612167,3,55,59.57468629,1,1,,,,
128,100,63.72345042, 38993221333870546910669774731064762639880056907132115254224726688930254741254976194429241485807969408023445058737787218828365901761063767291048186197860034887679110501471909711421105304675793689976467782688602150693749879446692362329979065638946230804908012036175238313872960640883848266934275393017613941690912301443463539866599722386852748612539586411078766503820289378951594413811647650132189293569138941550514946137302762972374936044778201884885379860836303654400538698249858406314817738897479498031859516703205500895404733277355433899602071842959235743090830060637593308913105669727267785630174244114908102000958459370078896063698295334235586768615193736,359345,32.97399998,6,144,19.66742468,4,69,26.75841522,3,68,32.36867237,3,41,47.70491099,1,1,,,,
128,1,34.16497922,3.83E+187,74,8.136040211,4,76,29.82885313,3,59,10.79639983,4,63,15.91791892,3,56,65.16403842,1,1,,,,
128,10,40.04995728, 1736355120896036860246213539087768361532770541119782627308854241042705869948858673091554640498884756744523582759058607923019792216080759280054172076559186298561264205183020116505332057249200368633554742843020424787209342930700377936452726755060398581399673347219078574008700834702620866972865623782899657313450411226999656640786392077680077369553374245330091937423714220973980920803149573065911609411676863588,3526,20.09646988,5,143,26.15880513,4,79,15.13429236,3,59,35.15605044,3,1,,,,,,,
128,100,41.48203707, 458884713583601007496608503335045316936746516749501958538377505182975483462223623783714031545319124035470556679074701349574258217141542854401278959340380518527116854542567142051803814762960306187252305010810177369251621392956869787885481651460322454058489708956088506876002906189900749493218483128305158222352134402056875998315304,319163,34.2575376,6,131,27.51348662,4,85,22.4960258,3,58,31.9726336,3,1,,,,,,,
128,1,6.874653101,8.80E+93,68,8.117724895,4,68,25.80352688,4,68,13.91701555,3,63,17.54158807,3,55,47.93835592,1,1,,,,
128,10,26.82441449, 279693699549836004388823687104985568844271913195852814144167633630002199720510412509524289472485958742206614456715447212484264592408583735049101678209853608389795482298795298921933962973098720117480242204645992270301203276776844438625771898312731962863519616168711918443133262429101137076121201690542777635965618997561134975647544317660173963086944031927196432940914104329757992821628966153329506577561331769,3424,19.76409936,7,192,19.66630411,4,80,25.1226244,4,62,9.433712482,3,55,67.94901323,1,1,,,,
128,100,20.76799273, 73944084185000970884409341762264053811928697189295209149271145390629971489495151456223534688513851900531545594018728882471240550008788864228884042312485728860054321614233208124797595069915512356387824543394577386112446737420578850359000453037884759811951045095953883106591106781338455236377313375822688200931925884511480782348454,340428,33.6825316,5,135,31.68915772,3,83,33.70060515,3,55,13.36689806,3,56,63.22133517,1,1,,,,
128,1,6.950332642,1.03E+95,71,7.824459076,4,71,13.47221661,4,71,23.52602696,4,59,26.87080669,3,1,,,,,,,
128,10,27.05144477,1.87E+206,3932,20.29247713,5,143,27.91039848,4,67,13.79473972,3,61,21.01655173,3,54,61.51121831,1,1,,,,
128,100,41.48423886, 2480006763123383092451603518907196559726337532848704972274580754392830332259328150689323027797489537864376031058410965682298600057631492377303760009724684270885813689063582924697879105658373891304688048936570686918685853684075179002976604982327554358013380961098122416965957143352562649898620790472500080649072942312726033826388921,329419,33.37738037,6,125,22.76439404,4,92,23.94232535,3,58,11.23035264,3,58,59.23826551,1,1,,,,
128,1,6.876186132,5.92E+93,69,7.782251358,5,69,16.3282342,4,69,13.7579267,3,54,21.02163601,3,59,56.09337711,1,1,,,,
128,10,53.56898189,5.08E+204,3779,20.2449913,6,136,22.51782298,4,83,15.96892071,4,55,23.56438828,3,58,65.3093946,1,1,,,,
