n, b, d, L, t1, max1, lsq1, t2, max2, lsq2, t3, max3, lsq3, t4, max4, lsq4, t5, max5, lsq5, t10, max10, lsq10, t20, max20, lsq20 ,
256,1,3,2560,58.29495931,662551,483748294,1066.63025,67,30615,593.9620688,34,9230,619.2358849,27,4984,815.7602956,23,3439,1613.143405,14,1677,4074.18589,11,891, 
256,1,3,5120,126.1358097,4.99865E+11,1.60809E+17,4149.723052,86,46837,760.7508895,36,9658,496.2047617,37,5933,835.9601402,23,3682,1600.742573,14,1440,3011.408446,11,874, 
256,1,3,7680,190.3721571,2.7455E+17,3.68156E+16,1330.004594,94,43888,695.3273959,38,8038,517.193522,28,6649,699.1577301,22,3841,1078.21327,16,1898,4904.153225,13,881, 
256,1,3,10240,258.8319488,4.60645E+23,6.16196E+43,1791.950583,68,32329,585.2858462,33,10318,667.5312729,28,5587,644.6521747,21,3269,1791.774796,16,1689,3314.950786,12,875, 
256,1,3,12800,320.0812399,8.67841E+29,1.90838E+54,2298.929847,74,37406,661.2589331,34,9327,644.8778257,25,4975,761.5022931,22,3585,1488.904069,14,1509,3539.731588,13,949, 
256,1,4,2560,67.93721819,3.48947E+12,7.44738E+16,5031.055997,74,39625,842.7911739,32,8249,645.8885183,24,5397,636.3792267,23,3195,1717.225428,15,1375,4206.752411,12,920, 
256,1,4,5120,137.7499082,8.89204E+24,2.22193E+45,2055.23887,74,24695,513.848897,44,10438,825.3316483,28,5505,527.3649325,22,3391,1390.477857,14,1582,2942.271497,11,990, 
256,1,4,7680,211.8299646,1.09918E+37,3.47816E+65,3907.546455,69,38874,688.5947249,37,8635,624.6773689,26,5107,590.6685753,20,3324,1596.905983,16,1668,3510.912428,11,911, 
256,1,4,10240,281.3541944,8.47069E+48,4.27581E+92,5216.687167,81,49665,755.9662852,34,7102,629.5882499,29,5608,433.2703896,26,3814,1945.543613,14,1552,2943.740949,12,922, 
256,1,4,12800,352.2811563,5.5022E+61,3.3362E+117,7290.947863,79,37367,700.9709444,38,7835,605.9464862,25,5925,764.3923943,22,3668,1533.474658,14,1406,2972.29674,11,1014,
28,1,2,1280,5.46974349,31,9,1.404067278,1,1,,,,,,,,,,,,,,,,
128,1,2,2560,12.06959605,1662,14443,2.376861334,6,142,25.78082633,4,80,26.57624316,3,59,22.96907878,3,48,46.39160657,1,1,,,,
128,1,2,3840,20.30066895,175553,167593685,3.472096205,5,136,30.1957953,4,75,15.84656692,4,56,37.25471616,3,1,,,,,,,
128,1,2,5120,27.11639309,2465015,29071234692,4.542661428,5,165,26.55295992,4,55,26.20902133,3,55,8.808622837,4,50,65.28074431,1,1,,,,
128,1,2,6400,35.19278979,284472207,2.47111E+14,5.480125666,6,137,29.36219764,4,76,12.64083338,4,55,14.30164146,3,38,61.57855201,1,1,,,,
128,1,3,1280,7.033430576,193657,885340317,3.93241024,6,143,13.696872,4,90,23.06534815,4,59,19.09259796,4,53,54.04286909,1,1,,,,
128,1,3,2560,15.08088326,1.47183E+11,2.66757E+17,7.520228624,5,132,19.79513621,5,85,23.4069736,5,58,34.77722883,3,1,,,,,,,
128,1,3,3840,22.86888003,1.76223E+17,3.12558E+16,48.12748218,5,155,21.34782791,5,91,28.18258023,3,55,25.77833223,3,1,,,,,,,
128,1,3,5120,31.54040551,1.45167E+22,3.02269E+39,65.33861041,6,165,19.15204334,4,81,34.82857299,3,60,2.184622765,3,60,76.04274464,1,1,,,,
128,1,3,6400,38.85293722,5.67447E+28,2.73012E+53,82.126683,5,141,18.41793537,3,67,14.36290526,4,59,37.81093836,3,44,55.56372046,1,1,,,,
128,1,4,1280,8.004238367,6.02119E+12,5.67503E+16,8.246663332,5,138,28.72833347,4,78,18.68929029,4,72,24.94547105,3,1,,,,,,,
128,1,4,2560,16.52378392,1.3123E+24,6.42526E+43,72.25835133,6,162,20.19220567,4,84,18.66394806,5,55,23.15086222,3,1,,,,,,,
128,1,4,3840,25.13044214,6.8857E+34,3.96318E+65,108.9291911,6,177,24.23892736,4,71,32.12655497,3,57,20.07683778,3,1,,,,,,,
128,1,4,5120,33.56124043,1.32378E+47,2.48239E+89,147.8503268,5,143,22.72931027,5,78,40.51771402,3,1,,,,,,,,,,
128,1,4,6400,42.16004682,1.7504E+60,9.5403E+113,192.7444024,5,148,24.632936,4,79,22.29798317,3,65,15.91230655,3,55,53.09709811,1,1,,,,
256,1,2,2560,37.93107843,30,11,7.028321743,1,1,,,,,,,,,,,,,,,,
256,1,2,5120,91.51546288,2573,3047,204.4504604,75,3047,706.7401407,43,3047,623.1797748,26,3047,726.675581,22,3047,1590.903522,13,1618,4185.58722,11,892, 
256,1,2,7680,165.8122578,159142,41037704,786.1640151,76,38434,563.4055214,44,11000,810.4427302,25,4785,306.131237,22,3794,1579.409694,14,1305,3177.772575,13,945, 
256,1,2,10240,219.208493,22919159,45453086343,1837.708675,100,54521,885.3582544,37,9079,519.3240521,28,5118,553.2582102,22,3853,1845.799685,15,1574,3696.516231,11,800, 
256,1,2,12800,307.6169429,271812976,9.91119E+13,2647.34944,83,38863,776.093092,34,8199,525.0590241,26,4936,664.1989129,22,3830,1599.476284,14,1703,3615.606753,10,970, 
256,1,3,2560,56.62745595,697447,498895476,1028.89104,86,49031,859.429734,32,7168,478.6289806,29,5540,678.3659842,24,3168,1430.489258,15,1631,2774.039595,11,896, 
256,1,3,5120,119.6416786,1.47265E+12,1.18532E+15,4214.876839,74,37234,661.1849401,36,9724,396.6881618,29,5398,766.6559749,23,3341,1401.382021,15,1526,3965.043324,10,945, 
256,1,3,7680,183.3297224,3.76344E+17,3.29907E+15,1334.763981,79,47331,773.0618217,33,8644,816.6109433,25,5263,443.0419652,21,3539,1458.396297,14,1580,4236.328344,11,926, 
256,1,3,10240,247.7486665,3.94496E+22,3.0115E+41,1908.266708,100,54003,622.7009389,36,8976,676.4979954,29,5346,499.7707641,22,2972,1387.251382,16,1822,2941.388336,12,895, 
256,1,3,12800,319.803694,2.76486E+29,3.89304E+53,2534.31856,73,38098,620.8644009,35,9705,790.4431355,28,5864,541.9175436,23,4488,1307.155573,14,1483,4511.711141,11,806, 
256,1,4,2560,65.11496687,3.76869E+12,9.95514E+15,5092.007282,70,33587,664.0642567,37,9302,780.5993991,24,4683,472.3469138,21,4510,1608.098671,16,1371,3251.819322,12,877, 
256,1,4,5120,132.2759991,1.8086E+25,6.97212E+44,2153.504189,79,41275,841.1696725,33,7990,422.1449068,31,5418,943.7091193,20,3394,1687.351303,15,1607,3894.511728,11,890, 
256,1,4,7680,202.4305813,6.4644E+36,7.49631E+66,3966.798154,71,37586,554.5459077,34,9802,692.3501465,30,5797,426.28789,22,4117,1838.311335,16,1633,4875.992988,11,802, 
256,1,4,10240,269.2627821,5.10901E+49,5.09661E+92,5225.042722,74,31091,697.0698946,37,9799,814.7475867,30,3989,492.5700455,23,3773,1515.875613,14,1626,3615.161214,10,771, 
256,1,4,12800,348.5606258,1.18778E+63,4.6618E+118,6931.240676,84,43449,723.1840887,35,7711,1007.445173,25,4477,533.9089787,23,3827,1678.314923,14,1530,3233.960635,11,826,
128,1,2,1280,5.430958033,37,29,1.397219419,1,1,,,,,,,,,,,,,,,,
128,1,2,2560,12.2235446,2801,5164,2.451675892,6,126,30.87033844,4,74,8.663740396,4,61,19.8700819,3,55,53.92815852,1,1,,,,
128,1,2,3840,19.97302079,180137,165213850,3.586154938,6,115,14.19531393,4,84,26.88044453,4,62,9.254540682,4,57,67.92720795,1,1,,,,
128,1,2,5120,27.17045307,5467480,28846482051,4.504663706,5,119,34.00972223,3,71,8.41758585,4,55,22.58785081,3,50,62.1024425,1,1,,,,
128,1,2,6400,35.06151199,309171237,8.01854E+13,5.593814135,5,144,22.52184057,4,80,17.52294755,4,60,28.05465651,3,47,54.85765004,1,1,,,,
128,1,3,1280,7.158769608,395210,357572170,4.049974203,5,150,12.75811982,5,78,32.20948768,4,45,17.77977991,3,50,62.51151133,1,1,,,,
128,1,3,2560,15.2481885,4.02522E+11,2.4774E+17,7.614952803,6,141,22.38210511,4,87,34.8310647,3,59,20.93601108,3,50,71.38360739,1,1,,,,
128,1,3,3840,22.81106639,9.6711E+17,6.85428E+16,47.26818085,6,125,27.33189106,4,78,12.36997151,4,72,14.81965876,3,58,55.01811075,1,1,,,,
