n, s, t1, max1, lsq1, t2, max2, lsq2, t3, max3, lsq3, t4, max4, lsq4, t5, max5, lsq5, t6, max6, lsq6, t7, max7, lsq7, t8, max8, lsq8, t9, max9, lsq9, t10, max10, lsq10
128,1000,2.470965862,1599,14666892,10.32415533,5,138,20.67731738,4,78,16.82062316,4,64,25.3301928,3,54,22.41624904,3,46,1.784633636,3,44,7.321225405,3,1,,,,,,
128,1000,2.48986721,1507,14369446,10.30463052,6,152,24.3032217,4,78,10.84140992,3,54,27.16534805,3,50,29.28339434,3,1,,,,,,,,,,,,
128,1000,2.523258448,1756,14621600,10.31224704,6,136,22.66745996,4,65,17.09260869,4,67,32.18626714,3,1,,,,,,,,,,,,,,,
128,1000,2.513154268,1620,14563454,10.27403021,6,152,22.12830114,4,79,11.63538337,4,65,14.94077444,3,60,27.93506789,3,40,9.993401289,3,41,47.33176374,1,1,,,,,,
128,1000,2.500931025,1630,13631245,10.3071506,5,146,25.87117147,4,75,23.91669869,3,51,10.77341604,3,50,18.95819688,3,1,,,,,,,,,,,,
128,1000,2.553678036,1779,13441149,10.26249671,6,125,14.54882598,4,88,22.71215701,4,1,,,,,,,,,,,,,,,,,,
128,1000,2.514127254,1516,13759359,10.26951933,6,161,30.27048421,4,71,27.07521272,3,51,14.65582871,3,53,15.8677671,3,1,,,,,,,,,,,,
128,1000,2.496592999,1948,13247319,10.23380542,6,153,21.07526636,4,72,28.40833163,4,52,13.22877073,3,53,8.225187063,3,46,63.73376012,1,1,,,,,,,,,
128,1000,2.566868305,1644,14646213,10.49861884,6,133,15.89335895,5,70,16.94466925,3,64,21.31573987,3,49,20.63888073,3,1,,,,,,,,,,,,
128,1000,2.490473032,1581,12771005,10.3340838,5,119,19.98504043,4,80,14.02080655,4,60,17.74306273,4,56,10.79553509,3,54,36.63663626,3,1,,,,,,,,,
128,1000,2.449237108,1659,14111747,10.06236863,6,149,21.7420733,4,75,21.7203877,3,47,9.579483032,3,45,44.03413725,3,1,,,,,,,,,,,,
128,1000,2.470399618,1759,15306374,10.05636382,5,118,26.26552677,4,73,22.62628508,3,63,23.79491448,3,48,9.743846893,3,48,51.56313872,2,1,,,,,,,,,
128,1000,2.453984261,1592,15101770,10.10607433,6,136,37.56004524,3,66,6.449593067,4,60,23.94635534,3,1,,,,,,,,,,,,,,,
